종목코드,순위
A086520,1
A051910,2
A207940,3
A006400,4
A003240,5
A003920,6
A051900,7
A000670,8
A001460,9
A010130,10
A007310,11
A298020,12
A298050,13
A004370,14
A005490,15
A003670,16
A036570,17
A004690,18
A128940,19
A066970,20
A086900,21
A017390,22
A097950,23
A352820,24
A247540,25
A011070,26
A214370,27
A004890,28
A014680,29
A357780,30
A012330,31
A000810,32
A002960,33
A048260,34
A278280,35
A005070,36
A005380,37
A035420,38
A002380,39
A002600,40
A004170,41
A096770,42
A011170,43
A145720,44
A121600,45
A282330,46
A002840,47
A140860,48
A086280,49
A068270,50
A002030,51
A034730,52
A003030,53
A005300,54
A009150,55
A001130,56
A271560,57
A006650,58
A277810,59
A383220,60
A306200,61
A011780,62
A268280,63
A215000,64
A307950,65
A018670,66
A008870,67
A041510,68
A066570,69
A010060,70
A006280,71
A012450,72
A012320,73
A003830,74
A058470,75
A090430,76
A003230,77
A018260,78
A108320,79
A058650,80
A145020,81
A298000,82
A214450,83
A035900,84
A028260,85
A001040,86
A078600,87
A000150,88
A039490,89
A011790,90
A280360,91
A064760,92
A000270,93
A139480,94
A107590,95
A120030,96
A000660,97
A006260,98
A006110,99
A039030,100
A003100,101
A068760,102
A003550,103
A361610,104
A009540,105
A192820,106
A069620,107
A189300,108
A005830,109
A185750,110
A000250,111
A008770,112
A067160,113
A003120,114
A033780,115
A122870,116
A000070,117
A007340,118
A237690,119
A298040,120
A001570,121
A112610,122
A000640,123
A000120,124
A023530,125
A035760,126
A005610,127
A052690,128
A016710,129
A126340,130
A010950,131
A072710,132
A005420,133
A034950,134
A091990,135
A290670,136
A011390,137
A001080,138
A058970,139
A078340,140
A251270,141
A009970,142
A000990,143
A348210,144
A326030,145
A079550,146
A299030,147
A005930,148
A302440,149
A383310,150
A285130,151
A003650,152
A025540,153
A010120,154
A010620,155
A004800,156
A020150,157
A053800,158
A049770,159
A032830,160
A134380,161
A014830,162
A011210,163
A253450,164
A093320,165
A064550,166
A317770,167
A267270,168
A194480,169
A039130,170
A035720,171
A000590,172
A004000,173
A004490,174
A267250,175
A042600,176
A003200,177
A001720,178
A357550,179
A007540,180
A000100,181
A137400,182
A241560,183
A340570,184
A215200,185
A001070,186
A101490,187
A071050,188
A055490,189
A047810,190
A170900,191
A012750,192
A064960,193
A195870,194
A000650,195
A005950,196
A112040,197
A058430,198
A092230,199
A009240,200
A243840,201
A017940,202
A001820,203
A002170,204
A001630,205
A267260,206
A004700,207
A138040,208
A069960,209
A005180,210
A196170,211
A021240,212
A095660,213
A204320,214
A267980,215
A017670,216
A088390,217
A105560,218
A213420,219
A063080,220
A025000,221
A166090,222
A025900,223
A057050,224
A009830,225
A145990,226
A352480,227
A199800,228
A001390,229
A180640,230
A103140,231
A336370,232
A192080,233
A032190,234
A002710,235
A007690,236
A111770,237
A183300,238
A008930,239
A344820,240
A263750,241
A000210,242
A099320,243
A272290,244
A010780,245
A031440,246
A101670,247
A049950,248
A120110,249
A008730,250
A101360,251
A095340,252
A090360,253
A007160,254
A104460,255
A171090,256
A322000,257
A014820,258
A005810,259
A144510,260
A000850,261
A323990,262
A005430,263
A009450,264
A228670,265
A293490,266
A056190,267
A131970,268
A141080,269
A214320,270
A067280,271
A108490,272
A108670,273
A000720,274
A161890,275
A086790,276
A004360,277
A314930,278
A017800,279
A034120,280
A081660,281
A049070,282
A304100,283
A131290,284
A119610,285
A001450,286
A043150,287
A004020,288
A078930,289
A058610,290
A051600,291
A161390,292
A033240,293
A134790,294
A002790,295
A005850,296
A023450,297
A178920,298
A004450,299
A028300,300
A029530,301
A109860,302
A037710,303
A060980,304
A311690,305
A282880,306
A016360,307
A240810,308
A006120,309
A243070,310
