,종가,gap
1018,"[8103.320081382991, 8103.291522368789, 8101.129092413933, 8101.480550944805, 8235.836059860885, 8237.592469885947, 8217.987203333529, 8224.670732274652, 8280.02821476385, 8325.747527701782, 8268.995764685795, 8297.644709199669, 8275.855050060898, 8277.39938645158, 8359.748121546581]",50567.47307344939
1019,"[839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999, 839.9999999999999]",143830.73546137076
1020,"[1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0, 1981.0]",16197.83452367515
1021,"[11250.437356829645, 11949.677646756174, 11977.045179009438, 12580.292642712593, 13086.948658525946, 14176.456615924835, 13111.642485260963, 13211.91575214267, 15336.154787242413, 16275.931469202043, 15308.744949102402, 16576.875840127468, 18693.249375373125, 18259.549171626568, 17268.337363898754]",23038.65534271951
1022,"[5765.240473945935, 5852.928448021412, 5873.99363814046, 5869.968063302337, 5852.360198119034, 5849.102769436935, 5854.651592541486, 5824.679793735345, 5823.924584470689, 5764.806061686327, 5675.61332543691, 5815.053643266359, 5937.98259444038, 5958.866916122535, 5892.259036528568]",211693.2237425662
1023,"[1985.0, 1985.0, 1985.0, 1985.0, 1985.0, 1999.2635124673448, 2018.3490504498284, 2076.0873937631645, 2131.6551995327077, 2137.8810776571436, 2145.947660169254, 2147.5645433552563, 2164.2575825986764, 2179.994023460895, 2177.786738013228]",232775.96003771728
1024,"[4615.0, 4628.879199357083, 4629.0416864305735, 4629.28972138092, 4657.524762606869, 4672.649498805405, 4711.84437327087, 4714.709752326211, 4735.443197432905, 4739.26715840896, 4735.869745422776, 4708.958889910331, 4781.191717784386, 4787.1683650588, 4793.84379462339]",1686.3865786501035
1025,"[1933.7592044274015, 1936.629348397255, 1937.3034173647563, 2000.9182298978171, 2003.435658335686, 2001.5698874294758, 2102.109939980631, 2107.1181192584336, 2154.5658459961414, 2224.977679491043, 2217.629433567325, 2293.366744724413, 2343.8942974607153, 2352.976732030511, 2382.0429751674337]",2988.6572143283356
1026,"[1880.0, 1880.0, 1880.0, 1907.6437580883503, 1898.2361335754395, 1960.6816748678684, 1964.5962346941233, 2033.0295897126198, 2042.4239984899762, 2138.110333830118, 2076.7587812542915, 2231.533410705626, 2163.1293214410543, 2204.8153921999037, 2241.109613634646]",49735.03852002662
1027,"[1020.5044931694865, 1020.3914083167912, 1020.4092008247973, 1033.7274204343557, 1032.8649533838034, 1030.0843765810132, 1029.3072263747456, 1060.092319227755, 1069.0409366413953, 1077.2057872489095, 1066.314144005999, 1093.2006692513824, 1102.3527981489897, 1137.8195765372368, 1121.6178681850433]",13683.418772675786
