종목코드,종가,gap
A000020,"[8186.86879685521, 8193.662090558559, 8199.454830780625, 8205.2916758731, 8211.498749762774, 8218.152419164777, 8225.011615514755, 8231.863373093307, 8238.838810849935, 8245.714380979538, 8252.642276983708, 8259.536615535617, 8266.439360599965, 8273.164728030562, 8279.856112778187]",169582.56257957572
A000040,"[449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994, 449.99999999999994]",16231.886427041534
A000050,"[10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0, 10320.0]",422.02384801469503
A000070,"[60724.6166685472, 60780.68788590531, 60818.506783026576, 60850.65444913693, 60880.984427899435, 60911.427933365725, 60942.19975262725, 60972.94582539083, 61003.84943986933, 61034.65563474999, 61065.2245546598, 61095.37822136034, 61125.38640906724, 61155.220045532726, 61184.58649778894]",1224.1402267046358
A000080,"[21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0, 21350.0]",2817.1331655827057
A000100,"[50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0, 50100.0]",8995.840537125707
A000120,"[75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0, 75900.0]",12895.290670878967
A000140,"[9034.760205547014, 9049.83751039331, 9059.81878121073, 9068.058389263848, 9075.727887935936, 9082.918675414598, 9089.780595817912, 9096.662366874516, 9103.547789842512, 9110.2857470233, 9116.942588668317, 9123.53842698969, 9130.0020549912, 9136.348966037232, 9142.583086068431]",3344.4225733276426
A000150,"[62920.847987532616, 64764.485033750534, 66884.38930392265, 69223.12520265579, 71744.40191924572, 74422.32040921848, 77243.65536550681, 80204.66844578584, 83302.0480599006, 86527.57897794247, 89881.70917272568, 93352.5201612711, 96939.38050409158, 100632.78970201811, 104420.78582823277]",8921.361610281509
A000180,"[1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0, 1770.0]",12715.798215298226
A000210,"[46168.10413430135, 46268.44424123566, 46342.55736210694, 46403.99128933748, 46459.17719801888, 46511.17385602867, 46561.73060229049, 46611.10199237242, 46660.18049718812, 46708.60520410662, 46756.799109242864, 46805.02233285457, 46853.154478147626, 46901.10688203326, 46948.95931472381]",2820.212014807244
A000220,"[5460.687699057162, 5463.463077871129, 5466.255137368571, 5468.821191880852, 5471.088745123708, 5473.051505004988, 5474.854470011778, 5476.509973744396, 5478.116923084017, 5479.623303860426, 5481.080947150476, 5482.414701434319, 5483.702344924677, 5484.97156891739, 5486.222809189931]",686.6843117895893
A000230,"[11288.772179087002, 11322.894078164052, 11347.459514150396, 11369.852511947975, 11391.430797254046, 11412.76204668296, 11433.617936708031, 11453.842980458092, 11473.728139189381, 11493.097865531843, 11512.49731810453, 11531.331734765941, 11549.667009270439, 11567.69444476192, 11585.314831668511]",55227.726761386446
A000240,"[11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0, 11500.0]",1127.4099731428669
A000250,"[27856.651114513323, 27867.69188087123, 27876.850546235994, 27885.26174391232, 27892.46141001427, 27899.071692397894, 27905.728955223072, 27911.739316880703, 27916.90558631536, 27921.76202966851, 27926.12238298054, 27930.22392600969, 27934.57636050511, 27938.842655207845, 27942.449328276172]",9549.564684818093
A000270,"[60005.0259522597, 60882.19221512476, 61947.98493027687, 63169.02473727862, 64516.22836867968, 65971.92952394485, 67530.7917380333, 69184.72356239954, 70937.50173568726, 72783.28048268954, 74723.11584949493, 76748.16339413325, 78854.57427740097, 81035.28993765514, 83281.99827432632]",15196.780740233187
A000300,"[725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0, 725.0]",24006.480580178613
A000320,"[9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0, 9530.0]",461.2391282429158
A000370,"[3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0, 3465.0]",12040.511002119862
A000390,"[5411.743836184343, 5447.872355649869, 5480.412195175886, 5510.343356505036, 5538.030367384355, 5563.847744951646, 5588.228068470956, 5611.492665921648, 5633.934879531464, 5655.685596403977, 5676.916203183432, 5697.662336103618, 5718.0982472375035, 5738.639632426202, 5758.495005381605]",1317.5709365908224
A000400,"[1331.1337381886938, 1331.4558592954031, 1331.7209758722843, 1331.9761128084112, 1332.2236740809556, 1332.4692822697882, 1332.713975166126, 1332.9518012834403, 1333.1853944797379, 1333.4219281723101, 1333.653586969866, 1333.8766441168264, 1334.0937148163405, 1334.305682908123, 1334.5122082082867]",2119.3143147941355
A000430,"[2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0, 2475.0]",2738.9043940482907
A000440,"[12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0, 12950.0]",2594.611072948901
A000480,"[9913.774892687798, 11535.223618189493, 13292.766493181387, 15160.47752471765, 17122.227680106957, 19168.158237040043, 21294.088014046352, 23499.05659290155, 25784.416160603367, 28146.106501599155, 30581.20744015773, 33083.98022156954, 35649.328745404884, 38272.36101837953, 40949.046975056335]",8641.330314878798
A000490,"[9014.36898803711, 9024.154511471588, 9031.096514940262, 9037.186971310526, 9043.054396297783, 9048.723522161445, 9054.288449725756, 9059.684350010008, 9065.073219683021, 9070.304003827274, 9075.581646295885, 9080.714329185585, 9085.76317820698, 9090.715559928367, 9095.634086145708]",8693.245300920511
A000500,"[14942.137538045645, 15032.179589495063, 15090.507446303964, 15136.890763528645, 15178.792758416383, 15219.42092306912, 15259.054613579063, 15298.265181593597, 15337.09805579856, 15375.38593178615, 15413.429139070213, 15450.978628564626, 15488.142180144787, 15525.024518650025, 15561.5714770928]",4090.3600544808896
A000520,"[6919.897293835878, 6925.35630915314, 6929.243912562728, 6932.456159897148, 6935.386241636239, 6938.121068307199, 6940.822405785321, 6943.514954295941, 6946.198334135115, 6948.8702042512605, 6951.564143395982, 6954.229923094623, 6956.8841327680275, 6959.5282807080075, 6962.195517236368]",2813.2703471446075
A000540,"[2835.0, 2835.0135102721397, 2835.0365993455052, 2835.05317101907, 2835.0656379223806, 2835.0765335411998, 2835.085559344269, 2835.093852764578, 2835.1011784285074, 2835.1058683904125, 2835.108832489117, 2835.111577226431, 2835.114027201198, 2835.11627222097, 2835.1182999846064]",2296.519045004257
A000590,"[51774.2270787557, 52114.1473809878, 52457.812456289925, 52812.63655424118, 53180.71343104044, 53562.89777358373, 53959.152475992836, 54369.32054758072, 54793.419067064926, 55230.76107501984, 55681.25597635905, 56145.54566939672, 56623.24938774109, 57113.238322734825, 57615.288058916725]",1855.628297763276
A000640,"[81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0, 81700.0]",1048.0624456680353
A000650,"[52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0, 52100.0]",1371.149160977734
A000660,"[75152.61412908633, 75221.89945355058, 75270.280027017, 75311.72847952694, 75353.00812441856, 75393.56488349536, 75434.03867290665, 75473.84037921827, 75513.74059220155, 75553.11609047154, 75593.79461221397, 75633.19846205413, 75672.02170249075, 75711.31942930321, 75750.20578826468]",106624.1544675963
