종목코드,순위
A145210,1
A001530,2
A001570,3
A140410,4
A183490,5
A214870,6
A003280,7
A300720,8
A031430,9
A078940,10
A182360,11
A064240,12
A131400,13
A183190,14
A101670,15
A054180,16
A263540,17
A056090,18
A093230,19
A003100,20
A053950,21
A299900,22
A298000,23
A175250,24
A234920,25
A134580,26
A291650,27
A013720,28
A035510,29
A101390,30
A083470,31
A214270,32
A121850,33
A005010,34
A089140,35
A079810,36
A114630,37
A305090,38
A003120,39
A138070,40
A290720,41
A091810,42
A227100,43
A121800,44
A032800,45
A030960,46
A017390,47
A023960,48
A244460,49
A073570,50
A000480,51
A361390,52
A051160,53
A294090,54
A298060,55
A241820,56
A189330,57
A185490,58
A001440,59
A108860,60
A247540,61
A016380,62
A032190,63
A258830,64
A096690,65
A037370,66
A192410,67
A151910,68
A317690,69
A007120,70
A090150,71
A024850,72
A136510,73
A383220,74
A270520,75
A013360,76
A009730,77
A363250,78
A091590,79
A002900,80
A130660,81
A306040,82
A005070,83
A104200,84
A181340,85
A005420,86
A208640,87
A086710,88
A373200,89
A043090,90
A042040,91
A003000,92
A121600,93
A053050,94
A064550,95
A035720,96
A159910,97
A277810,98
A093640,99
A219550,100
A038110,101
A269620,102
A042510,103
A009520,104
A005860,105
A060150,106
A053080,107
A208370,108
A011700,109
A263920,110
A322510,111
A018470,112
A307750,113
A066980,114
A007460,115
A276730,116
A082210,117
A289220,118
A041920,119
A109860,120
A235980,121
A207760,122
A051980,123
A109960,124
A020710,125
A066620,126
A197140,127
A074610,128
A110990,129
A192400,130
A108670,131
A128540,132
A054930,133
A043220,134
A178780,135
A014940,136
A073490,137
A012030,138
A156100,139
A012320,140
A126640,141
A129890,142
A003560,143
A229000,144
A079970,145
A071840,146
A014200,147
A060980,148
A032680,149
A072990,150
A237820,151
A037230,152
A095500,153
A013310,154
A058430,155
A065170,156
A005160,157
A297090,158
A234100,159
A064520,160
A052670,161
A004250,162
A036930,163
A002680,164
A067390,165
A178320,166
A042700,167
A078600,168
A317530,169
A101140,170
A285130,171
A089230,172
A019170,173
A011690,174
A098120,175
A037710,176
A025550,177
A038530,178
A028300,179
A042940,180
A004800,181
A033920,182
A025440,183
A006660,184
A016590,185
A263020,186
A006220,187
A012170,188
A007570,189
A250000,190
A348150,191
A294630,192
A005800,193
A023770,194
A112040,195
A004060,196
A088800,197
A256840,198
A012510,199
A045520,200
A105550,201
A032540,202
A115610,203
A252500,204
A120110,205
A151860,206
A096530,207
A194700,208
A217330,209
A327260,210
A002410,211
A293490,212
A093520,213
A084180,214
A301300,215
A086980,216
A357780,217
A005320,218
A068400,219
A003670,220
A066590,221
A317770,222
A007540,223
A003620,224
A291230,225
