,종가,gap
664,"[5720.000000000001, 5720.000000000001, 5735.027072727681, 5789.026945531369, 5789.012564122678, 5796.750813225905, 5798.20468634367, 5865.557739088934, 5895.128852402171, 5895.115902225178, 5932.857346807918, 5959.527967224519, 6014.819921329618, 6024.420115699371, 6067.43617272315]",1467.351219924568
665,"[1924.0164615288375, 1966.4084152802827, 1980.8878913049896, 1990.5250369608402, 2029.7984998474517, 2037.7936206882198, 2045.166751794517, 2070.030762337148, 2102.7170652002096, 2132.6150931504867, 2176.4826896910863, 2209.8385618676743, 2225.580095003049, 2250.7028982279203, 2272.0678876936436]",2916.095218855963
666,"[1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0, 1920.0]",6918.780052312258
667,"[23759.81729984283, 23838.12861919403, 25014.37696456909, 25291.608622074127, 25268.89506816864, 25292.334320545197, 25578.38371515274, 25855.87516784668, 26583.550276756287, 26671.17738008499, 26602.798767089844, 27193.39222431183, 28354.234397411346, 29153.421633243557, 29797.014596462246]",459.19258532609643
668,"[30300.0, 30300.0, 30491.077093283337, 30767.188874880474, 30750.305084387466, 31046.700882911686, 31054.37587499619, 31457.264868418377, 31374.13419087728, 31708.603211243946, 31720.175711313885, 31957.070855299633, 31956.49508436521, 32520.28750181198, 32256.00018898646]",5412.868841924088
669,"[7628.766068816185, 8061.782522996266, 8590.90076784293, 9211.219051480293, 9705.52265048027, 10302.271712819735, 10766.31774902344, 11397.853606939316, 11846.984241406124, 12486.082195242247, 12892.207144697506, 13597.716623544693, 13931.731486320497, 14673.20268750191, 15018.238016963005]",53984.31497538397
670,"[4020.0, 4020.0, 4020.0, 4020.0, 4086.1245076954365, 4082.5411667525764, 4086.340831205249, 4187.849010676146, 4191.088541932404, 4242.425219938159, 4366.153595477343, 4320.472424782813, 4433.598776137456, 4513.914130590856, 4422.960457376204]",42804.93739359185
671,"[15929.999999999998, 15929.999999999998, 15929.999999999998, 15929.999999999998, 15929.999999999998, 15934.273260237027, 15993.644533561232, 15995.862755835054, 15996.200413197279, 15998.53785706808, 15987.799186186863, 15984.261023412148, 15964.125538186481, 16001.172137627997, 16010.738250312317]",14074.555824198162
672,"[5650.0, 5650.0, 6387.782954548797, 6387.677667910853, 6388.34116516014, 6747.78185059627, 6787.885955724245, 6996.400208578368, 6996.97243771671, 6940.862537123225, 7074.060020819307, 7017.866047574207, 7213.74072852855, 8471.51064453957, 8326.172706307843]",7440.788862309012
673,"[347.99999999999994, 348.2213769381244, 350.5447750447007, 356.9595619442407, 357.9208634211682, 357.97013576033834, 360.4489376841423, 360.3297645474473, 363.7276824774841, 363.7476898301392, 363.6082610633845, 362.60545198060566, 364.90523317921907, 365.5463130809366, 384.3640685901045]",15231984.548402485
674,"[3980.0000000000005, 3980.0000000000005, 3980.0000000000005, 3980.0000000000005, 3980.0000000000005, 3980.0000000000005, 4001.4352489610515, 4063.7485039035487, 4104.198516259591, 4084.3299728613356, 4076.1224336326122, 4118.575435082118, 4139.652644465367, 4163.537842224042, 4213.571782961488]",53117.55104752038
675,"[19144.869274148172, 19276.437668847986, 19282.91722986226, 19344.22385808492, 19338.78911974128, 19385.93560703378, 19385.488656120684, 19484.39531589889, 19359.943613197654, 19483.171202968184, 19355.95440710212, 20332.22941426001, 19226.571029619005, 19390.782879321527, 19639.578840555623]",9367.459245984843
676,"[2360.9523134231567, 2370.9382143951952, 2368.282099965339, 2432.7991038095206, 2436.6710853806385, 2440.3175479111574, 2440.0383208009107, 2441.124440573156, 2433.798295956105, 2500.7712686080486, 2608.622161682695, 2624.4615238293386, 2629.5797412848724, 2624.768578926412, 2700.4708403735426]",475714.62435728987
677,"[12400.0, 12611.050057709217, 12579.566612889368, 12662.598244436083, 12547.171183147777, 12757.694348643223, 12731.191288257638, 12730.373326366145, 12775.4944319278, 12700.298446565865, 12843.335166250665, 12743.812580530841, 12891.851550887026, 13326.112461350856, 12739.822730375454]",556995.4939738055
678,"[27159.98972813288, 27155.226713021595, 27154.513604640957, 27155.404742558796, 27154.928299585976, 27158.4074083964, 27154.679256280262, 27223.87609084447, 27575.168056587376, 27355.115228891373, 27144.47753429413, 28019.66801603635, 28670.031223098435, 28512.28561187163, 28687.332425465185]",1442.6988004874495
679,"[1056.6281845867634, 1057.1944007873535, 1069.1833375245333, 1070.261337466538, 1067.9127809479833, 1069.1380375400186, 1069.6548074185848, 1067.4029983133078, 1071.8036066442728, 1067.9491847380996, 1070.4098323360085, 1069.485497713089, 1068.1432512104511, 1067.2283186018467, 1070.013274371624]",116248.25986626183
680,"[4266.40838289261, 4264.418750127156, 4563.113198916118, 4565.855179786682, 4646.775660594304, 4644.131051778793, 4723.560938835144, 4722.152175505956, 4734.677603483201, 4726.307917942604, 4744.22276694576, 4737.716179857652, 4751.147166500489, 4742.931012441714, 4761.84626411895]",613481.1492921236
681,"[1897.5368118385477, 1897.269004377226, 1897.0459121763708, 1896.8992553887267, 1896.876506969333, 1897.0940195148191, 1897.991958151261, 1899.018082648516, 1895.0, 1896.8421412371101, 1896.4679156430066, 1895.6564406168957, 1895.3408046315114, 1895.5661000904317, 1895.3453565184027]",547346.6018062717
