,종가,gap
0,"[29600.0, 29600.0, 29600.0, 29600.0, 29600.0, 29600.0, 29600.0, 29681.744363581143, 29600.0, 30076.965213418007, 29600.0, 29600.0, 29600.0, 29600.0, 29600.0]",14598.290837194712
1,"[3203.7032729014754, 3203.5109423088534, 3204.2115360610187, 3208.2432305179536, 3264.115985482931, 3263.303103586038, 3284.8230673000216, 3314.94972503682, 3379.7577547015, 3336.5947428314635, 3453.4549892544746, 3439.871361701439, 3503.033753742774, 3544.2107275078693, 3549.168399875363]",62758.09598916245
2,"[9401.08810822169, 9398.06649851799, 9399.849551320078, 9554.833231389523, 9569.366643865904, 9563.182516038418, 9558.869348208109, 9643.174498508375, 10101.73446968198, 10301.314640800158, 10330.257703145344, 10434.793440340709, 10844.385909952223, 10682.986440440018, 10417.330096364023]",23529.182280200825
3,"[17300.0, 17832.283316850662, 18673.52566599846, 19211.88125729561, 19143.12363386154, 20043.386696875095, 20681.893545389175, 21106.384809613228, 21053.80133099854, 21582.85338193178, 22365.61577469111, 22818.903993964195, 23343.49037408829, 23484.085559993986, 23475.613085329533]",34336.13166569075
4,"[10511.71181490024, 10817.660675346853, 10807.51450349887, 11154.397315283617, 11156.766055723032, 11312.868714431923, 11368.866371512415, 11401.696433077255, 11400.404976010323, 11806.219281156857, 11865.90439774096, 11849.449471806489, 11833.247511908412, 12135.126264318824, 12448.987324883541]",15689.318697116281
5,"[1580.0, 1580.0, 1602.4857257207234, 1602.4949214458466, 1602.382370988528, 1617.8918213446937, 1617.8110818664234, 1618.0570888121924, 1618.2032619714737, 1616.8847589890163, 1625.5627040863037, 1623.4570248027644, 1642.5467231770356, 1651.11410309126, 1645.9917489091556]",611743.8459005556
6,"[3505.0, 3560.109333410859, 3559.965557614962, 3572.1408878179886, 3573.2555861261985, 3617.9251583591104, 3621.8618122562766, 3621.7298394441605, 3621.0104952094457, 3679.18022246783, 3714.0108193457127, 3686.4408955723047, 3703.168838138382, 3706.7623575851326, 3713.420093864203]",67841.05157493101
7,"[2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0, 2375.0]",6395.4533426766
8,"[3988.1977537771068, 3988.157389909029, 4031.4677501718206, 4032.892218058308, 4034.8690260201693, 4035.458825106422, 4042.6276500523095, 4049.6583402653537, 4121.49572002391, 4123.140879074733, 4129.241078703974, 4078.1487858543796, 4110.036109065016, 4061.887107696384, 4060.8345164847556]",14926.831002963427
9,"[8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 8960.0, 9278.77191054821, 8971.151886753427, 9740.658343901237, 9423.169832330197]",4583.258840906114
10,"[6790.0, 6997.2448065082235, 7423.904374261697, 7988.696517904599, 8525.280413806438, 9046.698588867981, 9650.541492382687, 10110.164051393667, 10815.4183528622, 11158.584493935108, 11864.104887326559, 12251.107604920864, 12912.40596306324, 13400.083579679329, 13964.305898706118]",19732.570325108052
11,"[7250.0, 7250.0, 7405.768896738689, 7504.769480943681, 7470.5418400764465, 7433.920824587346, 7541.344291478396, 7613.711586078009, 7674.415200908979, 7636.491964360078, 8012.655288777625, 7650.371201485395, 8114.369268293183, 7806.634115905811, 8141.59460388124]",4778.128990380345
12,"[8860.0, 8860.0, 8925.879826078813, 9238.864505847296, 9329.93795719743, 9389.694027205309, 9245.009465515614, 9325.592995921772, 9436.892360726994, 9327.773151243728, 9346.39917767731, 9522.959962005418, 9861.472077071667, 9466.64460173746, 9886.365529234212]",1640.4705147221946
13,"[7276.820336381595, 7464.976033469042, 7762.165508121253, 7723.907644003631, 7684.15844241778, 7654.467753420274, 7538.844384104014, 7547.233206480742, 7707.603074262541, 7622.997189909221, 7735.484156012535, 7668.990047325691, 8353.230763872465, 7534.392616674304, 8028.1016861585285]",5592.814835156204
14,"[6018.017184257507, 5934.229632377624, 6004.4145431518555, 6005.706209897995, 6004.626250267029, 6037.23822414875, 6015.579486608505, 6004.392439842224, 6060.677544832229, 6019.531793355941, 6018.15555024147, 6086.996615588665, 6101.8635375499725, 6062.305799409747, 6077.198228985071]",1738.1658218342432
