종목코드,순위
A278650,1
A003200,2
A183490,3
A101140,4
A192410,5
A000480,6
A104200,7
A052710,8
A043590,9
A089030,10
A121800,11
A101730,12
A148250,13
A220100,14
A216050,15
A003000,16
A291230,17
A187870,18
A003530,19
A084850,20
A067390,21
A339950,22
A007460,23
A226330,24
A241590,25
A124560,26
A016590,27
A356890,28
A005320,29
A006200,30
A226320,31
A258830,32
A004980,33
A238090,34
A198440,35
A232680,36
A241690,37
A003100,38
A122450,39
A189860,40
A215600,41
A032500,42
A014790,43
A272290,44
A086040,45
A023150,46
A306620,47
A011390,48
A294140,49
A007390,50
A052300,51
A051900,52
A017550,53
A078130,54
A086980,55
A118000,56
A356860,57
A039830,58
A036090,59
A032680,60
A001290,61
A084650,62
A044060,63
A066980,64
A260930,65
A002200,66
A265740,67
A191420,68
A336060,69
A042000,70
A105630,71
A053210,72
A003690,73
A080010,74
A089150,75
A252500,76
A003380,77
A082800,78
A096770,79
A032300,80
A006340,81
A088800,82
A270870,83
A263050,84
A040350,85
A138490,86
A247660,87
A196490,88
A260970,89
A027710,90
A175250,91
A005740,92
A089850,93
A073560,94
A170900,95
A003560,96
A080420,97
A001530,98
A084730,99
A006040,100
A006280,101
A007280,102
A004800,103
A290720,104
A185490,105
A220180,106
A181710,107
A094860,108
A270660,109
A138610,110
A129890,111
A033180,112
A017000,113
A243840,114
A009810,115
A035510,116
A143240,117
A186230,118
A256840,119
A206560,120
A004410,121
A241820,122
A092300,123
A023410,124
A123690,125
A095910,126
A208640,127
A093190,128
A030350,129
A139670,130
A085310,131
A115180,132
A335810,133
A054050,134
A017480,135
A299660,136
A024910,137
A017670,138
A214390,139
A181340,140
A006570,141
A004080,142
A303030,143
A049630,144
A031430,145
A007680,146
A219550,147
A007370,148
A049800,149
A033270,150
A166480,151
A035460,152
A009580,153
A007210,154
A012200,155
A066700,156
A300720,157
A078020,158
A339770,159
A205500,160
A078070,161
A369370,162
A053580,163
A035250,164
A347740,165
A142280,166
A000150,167
A024090,168
A002020,169
A002210,170
A033560,171
A003540,172
A016710,173
A031310,174
A025900,175
A225190,176
A008490,177
A383220,178
A011280,179
A269620,180
A046940,181
A318010,182
A004540,183
A222080,184
A067000,185
A139480,186
A138070,187
A298000,188
A004870,189
A190650,190
A290380,191
A017390,192
A061040,193
A099520,194
A094970,195
A105550,196
A089230,197
A015890,198
A023530,199
A071840,200
A230360,201
A136540,202
A284740,203
A313760,204
A002990,205
A102460,206
A083550,207
A138080,208
A311690,209
A088290,210
A104460,211
A018120,212
A092130,213
A021240,214
A293580,215
A036570,216
A194370,217
A139130,218
A201490,219
A005750,220
A000210,221
A199800,222
A142760,223
A010170,224
A033310,225
A010060,226
A063170,227
A005880,228
A012340,229
A002780,230
A005440,231
A100220,232
A001680,233
A302440,234
A038530,235
A016580,236
A031440,237
A123890,238
A013580,239
A130580,240
A234080,241
A134790,242
A004960,243
A043650,244
A000230,245
A016250,246
A293780,247
A100130,248
A001630,249
A020710,250
A078590,251
A239610,252
A052260,253
A023810,254
A036460,255
A039290,256
A012690,257
A092230,258
A288330,259
A023760,260
A071320,261
A000950,262
A034810,263
A253590,264
A092440,265
A159910,266
A095570,267
A004170,268
A004090,269
A069110,270
A065560,271
A160600,272
A006580,273
A109070,274
A223310,275
A257370,276
A214870,277
A268600,278
A003800,279
A214330,280
A020000,281
A003240,282
A104480,283
A015540,284
A012600,285
A244460,286
A011200,287
A213500,288
A006060,289
A001020,290
A039560,291
A005090,292
A002960,293
A009270,294
A299900,295
A064820,296
A234340,297
A007160,298
A023450,299
A107590,300
A004430,301
A194700,302
A037350,303
A079430,304
A030000,305
A268280,306
A102280,307
A053590,308
A036800,309
A039020,310
A000890,311
A214320,312
A043220,313
A348030,314
A042110,315
A002360,316
A291650,317
A123420,318
A075180,319
A068930,320
A005390,321
A000050,322
A383800,323
A019770,324
A207760,325
A069960,326
A114630,327
A053950,328
A007690,329
A306040,330
A025980,331
A006360,332
A104040,333
A000650,334
A074430,335
A070960,336
A046120,337
A010950,338
A094280,339
A048530,340
A099220,341
A030190,342
A044450,343
A060240,344
A003520,345
A040420,346
A065530,347
A025000,348
A001810,349
A151910,350
A060250,351
A273060,352
A230240,353
A079940,354
A008370,355
A012750,356
A002460,357
A025540,358
A014200,359
A005800,360
A156100,361
A014830,362
A055490,363
A005250,364
A003220,365
A004970,366
A200130,367
A046390,368
A018000,369
A123410,370
A192400,371
A128820,372
A000270,373
A038390,374
A184230,375
A280360,376
A204840,377
A047080,378
A248170,379
A005690,380
A000520,381
A089600,382
A019170,383
A005380,384
A084690,385
A079960,386
A009070,387
A003090,388
A105740,389
A080580,390
A072990,391
A193250,392
A337930,393
A251370,394
A084680,395
A084990,396
A035760,397
A024950,398
A024800,399
A002320,400
A264450,401
A033290,402
A122310,403
A130660,404
A187420,405
A048550,406
A004720,407
A025750,408
A217270,409
A004150,410
A003580,411
A352700,412
A038620,413
A004440,414
A200780,415
A246690,416
A067990,417
A062860,418
A332370,419
A009240,420
A001500,421
A017890,422
A244920,423
A241520,424
A039010,425
A097950,426
A004590,427
A099190,428
A033200,429
A208340,430
A145020,431
A009460,432
A016610,433
A123570,434
A034830,435
A158430,436
A034730,437
A055550,438
A285130,439
A082850,440
A253840,441
A007720,442
A053620,443
A277410,444
A025860,445
A127710,446
A021320,447
A006490,448
A037560,449
A131030,450
A122900,451
A007070,452
A029780,453
A002310,454
A032860,455
A001720,456
A103840,457
A000640,458
A136490,459
A005300,460
A215000,461
A057540,462
A026960,463
A225220,464
A014820,465
A035620,466
A096530,467
A003460,468
A115390,469
A012700,470
A003120,471
A064260,472
A018700,473
A032640,474
A006390,475
A014280,476
A100700,477
A078930,478
A058400,479
A000240,480
A120030,481
A048870,482
A087010,483
A192650,484
A001000,485
A133750,486
A101530,487
A122350,488
A023600,489
A086450,490
A060150,491
A085910,492
A035600,493
A267290,494
A262840,495
A288620,496
A002840,497
A004650,498
A290120,499
A049770,500
A012510,501
A030610,502
A003490,503
A256630,504
A002380,505
A067280,506
A051160,507
A021080,508
A001230,509
A067290,510
A000220,511
A079980,512
A000140,513
A214180,514
A014570,515
A120110,516
A013890,517
A094850,518
A087600,519
A067900,520
A003650,521
A024060,522
A136510,523
A129260,524
A039310,525
A131370,526
A206650,527
A034310,528
A000670,529
A004060,530
A003850,531
A246960,532
A007310,533
A080720,534
A263750,535
A002390,536
A267980,537
A068290,538
A023590,539
A003410,540
A000320,541
A182400,542
A002170,543
A036580,544
A000590,545
A011040,546
A034590,547
A119860,548
A013720,549
A053800,550
A005110,551
A014580,552
A041590,553
A095700,554
A017960,555
A330350,556
A004450,557
A047040,558
A069620,559
A293480,560
A027830,561
A095190,562
A317690,563
A037760,564
A002810,565
A078000,566
A056090,567
A057050,568
A014970,569
A000080,570
A078940,571
A226950,572
A052330,573
A272550,574
A229640,575
A217330,576
A011780,577
A037710,578
A065950,579
A012790,580
A267250,581
A301300,582
A293490,583
A178920,584
A080470,585
A051500,586
A033780,587
A013360,588
A354200,589
A183300,590
A058730,591
A000120,592
A035150,593
A085810,594
A016800,595
A003480,596
A256150,597
A109740,598
A001880,599
A009770,600
A005670,601
A005500,602
A010050,603
A032750,604
A024070,605
A029960,606
A020150,607
A014530,608
A353810,609
A363280,610
A005680,611
A082640,612
A004830,613
A010960,614
A024720,615
A063160,616
A013810,617
A007590,618
A126560,619
A000860,620
A002240,621
A222110,622
A038460,623
A001750,624
A003070,625
A153490,626
A007570,627
A276730,628
A207940,629
A066410,630
A002450,631
A076610,632
A008250,633
A110790,634
A041460,635
A019550,636
A015360,637
A005430,638
A010130,639
A014990,640
A005960,641
A148150,642
A253450,643
A028260,644
A056360,645
A002630,646
A004780,647
A134380,648
A105560,649
A004990,650
A131290,651
A229000,652
A017810,653
A044960,654
A034940,655
A050120,656
A067630,657
A038500,658
A168330,659
A007330,660
A025880,661
A038540,662
A030200,663
A111710,664
A104700,665
A063440,666
A263720,667
A026150,668
A041190,669
A038070,670
A011000,671
A025950,672
A049550,673
A018260,674
A114450,675
A102940,676
A027050,677
A054040,678
A175330,679
A049180,680
A045060,681
A228760,682
A033130,683
A101930,684
A238120,685
A001520,686
A078340,687
A006090,688
A000390,689
A050110,690
A034300,691
A015760,692
A006370,693
A100250,694
A042510,695
A024110,696
A061250,697
A001130,698
A013120,699
A066910,700
A100120,701
A046440,702
A298540,703
A000970,704
A194480,705
A065450,706
A001200,707
A037460,708
A053280,709
A131090,710
A014160,711
A138930,712
A001540,713
A363260,714
A115440,715
A215790,716
A091340,717
A003830,718
A144510,719
A060380,720
A002720,721
A039240,722
A097230,723
A011210,724
A019010,725
A001270,726
A264900,727
A317120,728
A007610,729
A069080,730
A035000,731
A026890,732
A081150,733
A108380,734
A294870,735
A001550,736
A004770,737
A004000,738
A056730,739
A155660,740
A093050,741
A052900,742
A001800,743
A006140,744
A143210,745
A036420,746
A002410,747
A050960,748
A052860,749
A000180,750
A034950,751
A041910,752
A222980,753
A192440,754
A163560,755
A078140,756
A278280,757
A034220,758
A017510,759
A082210,760
A065440,761
A001840,762
A149950,763
A006620,764
A316140,765
A039340,766
A092220,767
A005360,768
A000540,769
A121440,770
A221980,771
A161390,772
A001430,773
A321550,774
A011790,775
A053080,776
A317240,777
A289010,778
A065710,779
A289220,780
A122990,781
A115450,782
A031510,783
A009780,784
A130500,785
A051600,786
A078160,787
A096240,788
A072020,789
A018620,790
A008420,791
A022220,792
A210980,793
A008060,794
A124500,795
A005870,796
A034120,797
A045520,798
A361390,799
A038880,800
A005940,801
A104830,802
A282690,803
