,종가
0,"[8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0]"
1,"[482.9766592383384, 485.6558578982949, 485.75203057005996, 485.72601469606155, 485.8330023474991, 497.91538904607296, 515.7328837439417, 516.6635920330882, 522.8407038263977, 525.9374239370227, 539.101554069668, 536.4409741535783, 551.6774898357689, 556.570972982794, 559.1415045820177]"
2,"[10354.025721510252, 10353.579673906166, 10353.802254756292, 10354.656299233437, 10353.498549004395, 10376.473794738453, 10371.92233106494, 10490.138916552067, 10575.927542934814, 10589.223809611052, 10585.940942188105, 10595.842029074827, 10588.7855959932, 10595.581081662327, 10593.985591458777]"
3,"[60600.0, 61536.144611040756, 64104.85885570447, 65789.2124608159, 65887.44075069825, 65857.61866631608, 65846.12899529438, 65728.50030156474, 65898.98333437741, 65991.61228535077, 65937.6619675383, 65901.18902623653, 66050.98285781841, 66081.81095180412, 66021.02258423965]"
4,"[21350.0, 21943.13476085663, 21930.439269542694, 22295.849530398846, 22816.800048947334, 23477.36878544092, 23670.6022195518, 24309.532383829355, 24948.906807601456, 25546.460340172052, 25482.6892003417, 25835.325558343902, 26492.33006164432, 27181.99775312096, 27327.244526147842]"
5,"[50431.6279900074, 50431.870399713516, 50763.38313102723, 50776.0688212514, 50754.47640225292, 50831.98074355722, 50783.98806300014, 50841.53826564551, 50825.62161564827, 50835.26383161545, 50828.97905230522, 50840.92637300491, 50812.38978624344, 50814.094743728645, 50812.30985879899]"
6,"[76264.45338348548, 76253.4259575357, 76237.71248452365, 76201.91236061355, 76195.41282658775, 76167.07783112924, 76165.58713021377, 76142.88109749556, 76122.2250257805, 76108.16597690184, 76137.31897880635, 76172.90326173106, 76162.87689792614, 76160.205493172, 76155.48029343288]"
7,"[9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0, 9000.0]"
8,"[62660.458734730884, 64312.38296618064, 64147.0164167881, 65440.51277061303, 65523.83563051621, 67527.36705690622, 67376.49696459372, 69247.9645516475, 69223.90384991963, 69464.8422935605, 69522.64346467951, 69564.22272729377, 69388.31901057313, 69449.65280543081, 71585.51584341873]"
9,"[1788.8947463234265, 1800.0922222087781, 1800.3094858527184, 1801.0917580028374, 1799.6764688591163, 1797.6117589175701, 1793.0260831365981, 1787.1544346076746, 1785.420468767484, 1788.5381750427186, 1786.6119131986052, 1785.6293712755044, 1785.6685768167176, 1785.0565637151399, 1784.3527543644109]"
10,"[46000.00000000001, 46000.00000000001, 46000.00000000001, 46000.00000000001, 46000.00000000001, 46000.00000000001, 46000.00000000001, 46003.52512461445, 46035.89223366231, 46074.493925335504, 46063.66587497294, 46131.27329883477, 46115.35477956136, 46103.78957688809, 46100.91904719671]"
11,"[5475.415154770017, 5476.857110261918, 5476.420979201794, 5474.859303943813, 5511.106216162443, 5574.712229855359, 5573.309598006308, 5596.760770045221, 5607.973157018423, 5657.008365020156, 5618.132461234927, 5640.496196933091, 5599.939588494599, 5576.379998456687, 5521.973319030368]"
12,"[11707.202674349148, 11718.142109016577, 13049.782653252285, 13041.574832598368, 14361.354622344177, 14362.769735952219, 15609.741647541523, 15569.73982254664, 16625.493456621964, 16485.47795176506, 17137.86311507225, 16810.11367596686, 16650.211084286373, 16989.434517224632, 16395.748994151752]"
13,"[11744.66414620479, 12043.89463265737, 12228.760374983152, 12252.664755024018, 12397.006151179474, 12521.751839915913, 12492.827612571418, 12450.419397043686, 12377.108815331014, 12434.270740974076, 12572.3576724343, 12630.929658717167, 12432.90558146313, 12378.598284547528, 12418.130861039584]"
14,"[28681.524154543877, 28637.91522443295, 28653.923130979143, 28967.752323721845, 28903.830351233482, 28929.406527131796, 29579.377715066075, 29694.04699664563, 29491.348671851058, 29750.818490615737, 29819.128292178113, 29739.80048057934, 30218.048666231334, 30170.192632774513, 30106.44747556498]"
15,"[59300.0, 59512.01582272848, 59625.84526936214, 60258.065969944, 60815.35149345795, 61028.06864927213, 61117.01251489421, 61217.05825934807, 61840.464148682855, 62238.94032507514, 62331.97640827546, 64149.6263465782, 63317.01526284218, 64589.52637682359, 63393.75788003206]"
16,"[725.0, 725.0, 725.2470988500863, 746.826545484364, 747.4674910958856, 747.6368717849255, 749.0128519386052, 751.3065942004323, 763.7077343265992, 763.4170190244913, 763.1020121276379, 763.9201211225009, 767.2466488974169, 782.7799464203417, 787.5439678877592]"
